Dataset,Method,Epsilon,Threads,timeP_s,timeWhile_s,timeSingle_s,timeUNV_s,timeUR_s,timeC_s,timeU_s,timeAll_s,Runtime_ms,Runtime_s,numIter,numOrgVerts,numSimpVerts
stat,P-Weld Async,7.500e-2,16,0.205710,0.011218,0.050134,0.013518,0.007260,0.061364,0.029333,0.349896,349.946850,0.349947,4,4999996,4950029
stat,P-Weld Async,7.500e-2,32,0.126424,0.008320,0.056518,0.018085,0.008568,0.064845,0.029842,0.280402,280.418600,0.280419,4,4999996,4950029
stat,P-Weld Async,7.500e-2,64,0.121875,0.034716,0.067217,0.021718,0.015431,0.101945,0.030048,0.329921,329.937600,0.329938,4,4999996,4950029
stat,P-Weld Async,0.10023,1,2.270627,0.049396,0.083411,0.026928,0.027171,0.132817,0.029286,2.451750,2451.763500,2.451764,2,4999996,4499027
stat,P-Weld Async,0.10023,2,1.167284,0.033075,0.073496,0.027262,0.017058,0.106582,0.029152,1.347775,1347.790000,1.347790,3,4999996,4499027
stat,P-Weld Async,0.10023,4,0.602629,0.019863,0.069415,0.027565,0.012640,0.089288,0.029184,0.772510,772.524800,0.772525,3,4999996,4499027
stat,P-Weld Async,0.10023,8,0.313399,0.013038,0.066425,0.027235,0.009943,0.079473,0.029222,0.480684,480.699800,0.480700,3,4999996,4499027
stat,P-Weld Async,0.10023,16,0.194880,0.010827,0.069326,0.031115,0.008952,0.080163,0.029234,0.366066,366.083100,0.366083,4,4999996,4499027
stat,P-Weld Async,0.10023,32,0.138959,0.010135,0.083704,0.044838,0.009049,0.093847,0.029795,0.364613,364.629050,0.364629,4,4999996,4499027
stat,P-Weld Async,0.10023,64,0.119864,0.041647,0.088774,0.044675,0.014035,0.130428,0.030047,0.441371,441.387700,0.441388,4,4999996,4499027
stat,P-Weld Async,0.1795,1,3.702237,0.090832,0.090514,0.032686,0.028615,0.181357,0.029189,3.931666,3931.679500,3.931680,2,4999996,2502116
stat,P-Weld Async,0.1795,2,1.901135,0.071906,0.076857,0.032566,0.015229,0.148774,0.029042,2.135324,2135.338500,2.135339,3,4999996,2502116
stat,P-Weld Async,0.1795,4,0.970713,0.037656,0.071130,0.032811,0.009134,0.108796,0.029165,1.175294,1175.307500,1.175308,3,4999996,2502116
stat,P-Weld Async,0.1795,8,0.501287,0.024468,0.069822,0.032562,0.008207,0.094300,0.029030,0.695544,695.557700,0.695558,4,4999996,2502116
stat,P-Weld Async,0.1795,16,0.320502,0.018409,0.070015,0.034255,0.006301,0.088436,0.029429,0.522287,522.304350,0.522304,4,4999996,2502116
stat,P-Weld Async,0.1795,32,0.186984,0.015935,0.072379,0.035345,0.007566,0.088323,0.029450,0.487141,487.157600,0.487158,5,4999996,2502116
stat,P-Weld Async,0.1795,64,0.157035,0.034218,0.080615,0.040667,0.009826,0.114844,0.030092,0.601053,601.074750,0.601075,5,4999996,2502116
